Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"5005747-1","Star Wars","Promotional",2018,"Black Card Display Stand",1,42,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,303.7600,145.7800,"",""
"40183-1","Promotional","Toys R Us",2014,"Bricktober Town Hall",,186,,19.99,,,,673419220101,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,22.6500,11.0000,"01/09/2014","31/12/2014"
"60208-1","City","Sky Police",2019,"Parachute Arrest",4,218,24.99,39.99,49.99,29.23,5702016369779,673419303682,28,26,5.6,0.478,"",0,0,0,,0,0,,,,,,,,,24.6900,10.2700,"01/01/2019","31/12/2020"
"41181-1","Elves","",2017,"Naida's Gondola & the Goblin Thief",2,67,8.99,9.99,12.99,9.99,5702015865913,673419264839,15.6972,14.097,4.4958,0.1088621,"",0,0,0,,0,0,,,,,,,,,24.1600,22.0000,"01/03/2017","31/12/2017"
"76942-1","Jurassic World"," Camp Cretaceous",2021,"Baryonyx Dinosaur Boat Escape",4,308,69.99,79.99,99.99,79.99,5702017079752,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,69.4200,48.0800,"01/09/2021","31/12/2022"
"4416-1","Creator","3 in 1",2006,"Robo Pod",,65,2.99,3.49,,,5702014467071,,8,15.7,5.4,,"",0,0,0,,0,0,,,,,,,,,10.0300,7.1000,"01/01/2006","31/12/2006"
"70012-2","Legends of Chima","The Power of the CHI",2013,"Razar's CHI Raider",3,412,39.99,39.99,49.99,,5702014971905,673419189736,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,35.9500,28.7600,"01/01/2013","31/12/2013"
"5898-1","Bricks and More","",2010,"Cars Building Set",1,139,8.49,9.99,12.99,,5702014602663,673419130646,19.1,14.1,6.1,0.18,"",0,0,0,,0,0,,,,,,,,,19.4700,6.1900,"",""
"4877-1","Bionicle","Rahaga",2005,"Rahaga Norik",,28,,4,,,5702014426856,673419057806,,,,,"",0,0,0,,0,0,,,,,,,,,26.7400,11.3500,"",""
"5004389-1","Nexo Knights","Promotional",2016,"Battle Station",,19,,,,,,673419251730,,,,,"",0,0,0,,0,0,,,,,,,,,2.3500,1.1200,"",""
"4564-1","Trains","9V",1994,"Freight Rail Runner",3,587,,134,,,5702010945641,,,,,,"",0,0,0,,0,0,,,,,,,,,715.5300,296.2300,"",""
"6088-1","Castle","Ninja",1998,"Robber's Retreat",4,273,,30,,,5702010960880,042884060886,28.8,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,150.0000,62.4400,"01/05/1998","31/12/1999"
"70795-1","Bionicle","Miscellaneous",2015,"Mask Maker vs. Skull Grinder",,171,24.99,29.99,39.99,29.99,5702015348461,673419229517,22.1996,26.2128,6.1976,0.41768,"",0,0,0,,0,0,,,,,,,,,86.7100,57.5400,"01/08/2015","31/07/2016"
"41121-1","Friends","Adventure Camp",2016,"Adventure Camp Rafting",2,320,24.99,29.99,39.99,29.99,,673419248020,28.194,26.2128,5.8928,0.49032,"",0,0,0,,0,0,,,,,,,,,30.5200,13.6100,"01/01/2016","31/12/2016"
"70616-1","The LEGO Ninjago Movie","",2017,"Ice Tank",5,914,79.99,79.99,99.99,79.99,5702015592611,673419248826,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,172.6300,114.6900,"01/08/2017","31/12/2018"
"11005-1","Classic","Creative Fun",2019,"Creative Fun",,900,29.99,39.99,49.99,34.11,5702016367805,673419302067,26,38,14,1.18,"",0,0,0,,0,0,,,,,,,,,32.2900,42.4300,"01/01/2019","31/12/2020"
"76949-1","Jurassic World","Dominion",2022,"Giganotosaurus & Therizinosaurus Attack",6,810,119.99,139.99,179.99,139.99,5702016913552,673419340441,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,98.9700,,"17/04/2022","31/12/2024"
"7030-1","World City","Police and Rescue",2003,"Squad Car",1,51,2.99,4,,,,673419018180,14.4,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,27.9900,6.1300,"01/06/2003","31/12/2003"
"7996-1","City","Trains",2007,"Train Rail Crossing",,4,14.65,24.99,,,5702014499041,,28.8,28.8,4.8,,"",0,0,0,,0,0,,,,,,,,,157.2500,103.1200,"01/06/2007","31/12/2008"
"8149-1","Racers","Tiny Turbos",2008,"Midnight Streak",,43,2.99,4.99,,,5702014516137,673419101721,10.2,14.7,4.8,0.09,"",0,0,0,,0,0,,,,,,,,,13.7700,5.3400,"",""
"30412-1","Friends","Park",2020,"Park Picnic",1,44,3.49,4.99,,3.99,5702016668711,,17,17,0.8,,"",0,0,0,,0,0,,,,,,,,,3.7400,3.7500,"01/01/2020","31/12/2020"
"41168-1","Disney","Frozen II",2019,"Elsa's Jewellery Box",1,300,34.99,39.99,49.99,39.99,5702016368659,673419302883,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,20.2200,19.7500,"04/10/2019","31/12/2023"
"71755-1","Ninjago","Seabound",2021,"Temple of the Endless Sea",7,1060,99.99,99.99,139.99,109.99,5702016912333,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,92.6600,70.0000,"01/06/2021","31/07/2022"
"60356-1","City","Stuntz",2023,"Bear Stunt Bike",1,10,6.99,7.99,9.99,7.99,5702017416182,673419374927,9.1,12.2,4.7,0.044,"",0,0,0,,0,0,,,,,,,,,6.9500,,"01/01/2023","31/12/2023"
"30367-1","City","Police",2020,"Police Helicopter",1,39,,4.99,,,5702016668766,,0.031,,,,"",0,0,0,,0,0,,,,,,,,,4.6300,3.5000,"01/01/2020","31/12/2020"
"2283-1","HERO Factory","Savage Planet",2011,"Witch Doctor",,331,25.99,29.99,39.99,,,673419145510,26.19,38.2,7.06,0.61,"",0,0,0,,0,0,,,,,,,,,89.0700,63.5000,"01/07/2011","31/07/2012"
"9455-1","Ninjago","Rise of the Snakes",2012,"Fangpyre Mech",2,255,19.99,24.99,29.99,,5702014831261,673419165594,28.2,26.2,4.6,,"",0,0,0,,0,0,,,,,,,,,60.0000,32.6000,"01/01/2012","31/12/2012"
"6420-1","Town","Postal",1998,"Mail Carrier",1,12,,2,,,5702010964208,,,,,,"",0,0,0,,0,0,,,,,,,,,20.7700,12.0000,"",""
"1388-1","Bionicle","Matoran",2001,"Huki",,8,,2,,,5702014366640,042884013882,,,,,"",0,0,0,,0,0,,,,,,,,,29.6700,21.1000,"",""
"10506-1","Duplo","Trains",2013,"Train Accessory Set",,24,15.99,19.99,24.99,19.99,5702014973329,673419215770,28.194,26.1874,9.5504,0.66,"",0,0,0,,0,0,,,,,,,,,50.5600,16.3700,"01/06/2013","30/09/2014"
"850949-1","Seasonal","Christmas",2014,"Christmas Snow Hut Ornament",,45,6.99,7.99,9.99,7.99,,673419217958,,,,,"",0,0,0,,0,0,,,,,,,,,20.0900,8.3600,"",""
"10017-1","Trains","9V",2001,"Hopper Wagon",,228,,20,,,5702014154407,673419011907,28.8,19.2,6,,"",0,0,0,,0,0,,,,,,,,,75.8700,47.6900,"20/08/2001","31/12/2003"
"6328-1","Town","Police",1998,"Helicopter Transport",2,102,,15,,,5702010963287,,24,19.2,6,,"",0,0,0,,0,0,,,,,,,,,25.2500,11.5100,"01/04/1998","31/12/1999"
"8512-1","Technic","Robo Riders",2000,"Onyx",,37,,6,,,5702012006753,,8.8,17.2,8.8,,"",0,0,0,,0,0,,,,,,,,,45.5600,6.9400,"01/06/2000","01/03/2001"
"43111-1","Vidiyo","Stages",2021,"Candy Castle Stage",2,344,24.99,29.99,39.99,29.99,5702016911435,,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,20.9400,,"01/06/2021","31/12/2021"
"70778-1","Bionicle","Protectors",2015,"Protector of Jungle",,64,9.99,9.99,12.99,9.99,5702015351003,673419231046,14.097,19.1008,5.4102,0.14,"",0,0,0,,0,0,,,,,,,,,40.0000,20.9300,"01/01/2015","31/12/2015"
"8460-1","Technic","",1995,"Pneumatic Crane Truck",,850,,99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,227.3800,84.5200,"",""
"8229-1","Technic","",1997,"Tread Trekker",1,186,,22,,,,,24,19.2,6,,"",0,0,0,,0,0,,,,,,,,,42.9500,15.5000,"01/01/1997","31/12/1999"
"6471-1","Town","City",2000,"4WD Police Patrol",1,30,,5,,,,,14.4,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,13.3300,6.2100,"01/01/2000","01/07/2001"
"5914-1","Adventurers","Dino Island",2000,"Sam Sinister and Baby T",1,21,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,19.2100,9.3900,"",""
"1393-1","Bionicle","Matoran",2001,"Matoro",,8,,2,,,5702014366657,042884013936,,,,,"",0,0,0,,0,0,,,,,,,,,38.9800,22.8300,"",""
"30015-1","City","Harbor",2011,"Jet Ski",2,24,,,,,5702014828612,673419164337,,,,,"",0,0,0,,0,0,,,,,,,,,4.6700,2.0000,"",""
"71709-1","Ninjago","Prime Empire",2020,"Jay and Lloyd's Velocity Racers",3,322,24.99,29.99,39.99,29.99,5702016616958,673419318167,35.4,19.1,7,0.46,"",0,0,0,,0,0,,,,,,,,,29.7800,17.9600,"01/01/2020","31/12/2021"
"20006-1","Star Wars","The Clone Wars",2008,"Clone Turbo Tank",,64,,,,,,673419109338,,,,,"",0,0,0,,0,0,,,,,,,,,47.5000,15.5800,"",""
"8924-1","Bionicle","Warriors",2007,"Maxilos and Spinax",,256,24.99,29.99,,,,673419091831,28.8,38.4,7.2,0.55,"",0,0,0,,0,0,,,,,,,,,452.7100,122.1300,"01/08/2007","31/07/2008"
"2145-1","HERO Factory","Savage Planet",2011,"Stormer 3.0",,31,7.99,7.99,10.99,,5702014735507,673419145466,11.25,18.21,6.1,0.15,"",0,0,0,,0,0,,,,,,,,,43.9200,10.0900,"01/07/2011","31/07/2012"
"6721-1","Dinosaurs","",2001,"Mosasaurus",,26,7.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,105.0000,44.1800,"",""
"6473-1","Town","Res-Q",1998,"Res-Q Cruiser",3,296,,35,,,5702010964734,,33.6,28.8,4.8,,"",0,0,0,,0,0,,,,,,,,,145.0000,44.3500,"01/04/1998","31/12/1999"
"1492-1","Pirates","",1992,"Battle Cove",1,26,,,,,,042884014926,,,,,"",0,0,0,,0,0,,,,,,,,,50.0000,18.5700,"",""
"377-1","Town","Classic",1978,"Shell Service Station",2,179,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,289.9100,62.1200,"",""
"600-2","Town","Classic",1978,"Police Car",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1076.3000,23.0500,"",""
"7244-1","City","Harbor",2005,"Speedboat",2,107,14.99,29.99,,,,673419058094,48,28.8,7.2,0.73,"",0,0,0,,0,0,,,,,,,,,58.4300,38.4300,"",""
"4955-1","Creator","3 in 1",2007,"Big Rig",,550,19.99,30,,,,673419091657,38.4,28.8,7.2,1.07,"",0,0,0,,0,0,,,,,,,,,143.8300,58.9500,"01/07/2007","31/12/2008"
"8289-1","Technic","",2006,"Fire Truck",,1035,49.99,74.99,,,5702014479630,673419083492,48,38.4,7.2,1.82,"",0,0,0,,0,0,,,,,,,,,131.7600,70.6700,"01/10/2006","31/12/2007"
"40181-1","Promotional","Toys R Us",2014,"Bricktober Pizza Place",,139,,19.99,,,,673419220088,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,26.1500,25.9800,"01/09/2014","31/12/2014"
"41166-1","Disney","Frozen II",2019,"Elsa and the Reindeer Carriage",1,116,24.99,29.99,39.99,29.99,5702016368635,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,20.6700,14.0000,"04/10/2019","31/12/2022"
"41177-1","Elves","",2016,"The Precious Crystal Mine",2,273,24.99,29.99,39.99,24.99,,673419249386,35.4076,19.1008,5.8928,0.40406,"",0,0,0,,0,0,,,,,,,,,64.3700,43.5400,"01/06/2016","31/12/2016"
"76160-1","DC Comics Super Heroes","Batman",2020,"Mobile Bat Base",6,743,79.99,89.99,129.99,89.99,5702016619393,673419320504,54,28.2,7.9,1.23,"",0,0,0,,0,0,,,,,,,,,87.3600,53.6300,"01/06/2020","31/12/2021"
"76163-1","Marvel Super Heroes","Spider-Man",2020,"Venom Crawler",3,413,24.99,29.99,39.99,29.99,5702016685671,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,50.1200,30.0000,"01/03/2020","31/12/2021"
"8115-1","Exo-Force","Deep Jungle",2008,"Dark Panther",3,244,9.79,14.99,,,,673419102315,19.2,28.8,4.8,0.36,"",0,0,0,,0,0,,,,,,,,,41.8500,27.7900,"",""
"8034-1","Technic","Universal",1989,"Universal Set",,187,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,92.0300,14.2800,"",""
"4793-1","Alpha Team","Mission Deep Sea",2002,"Ogel Shark Sub",3,115,14.99,20,,,,673419010825,28.8,19.2,4.8,,"",0,0,0,,0,0,,,,,,,,,83.1900,25.7400,"01/01/2002","31/12/2003"
"30536-1","Ninjago","Rebooted",2020,"Combo Charger",,71,,4.99,,,5702016667783,673419321730,17,19.5,1,,"",0,0,0,,0,0,,,,,,,,,3.4500,2.7100,"01/01/2020","31/12/2020"
"80110-1","Seasonal","Chinese Traditional Festival",2023,"Lunar New Year Display",,872,69.99,89.99,119.99,79.99,5702017415611,673419374705,,,,,"",0,0,0,,0,0,,,,,,,,,65.1200,21.0000,"01/01/2023","31/12/2023"
"8830-1","Technic","",1990,"Rally 6-Wheeler",1,171,,,,,5702010988303,,,,,,"",0,0,0,,0,0,,,,,,,,,64.0700,13.6300,"",""
"6359-1","Town","Leisure",1986,"Horse Trailer",1,141,,12.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,266.7400,31.2900,"",""
"8721-1","Bionicle","Matoran",2006,"Velika",,21,2.99,4,,,5702014462434,673419077002,,,,,"",0,0,0,,0,0,,,,,,,,,29.5000,9.0000,"",""
"30366-1","City","Police",2020,"Police Car",1,37,3.49,4.99,,3.99,5702016668759,,17,17,0.9,0.033,"",0,0,0,,0,0,,,,,,,,,3.6900,2.5100,"01/01/2020","31/12/2020"
"10847-1","Duplo","",2017,"My First Number Train",2,23,12.99,19.99,24.99,19.99,5702015866637,673419265423,35.4076,19.1008,9.0932,0.5443104,"",0,0,0,,0,0,,,,,,,,,17.4600,10.4900,"01/01/2017","31/12/2021"
"8148-1","Racers","Tiny Turbos",2008,"EZ-Roadster",,45,2.99,4.99,,,5702014516120,673419101714,10.2,14.7,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,9.5100,4.2700,"",""
"9569-1","Ninjago","Spinners",2012,"Spitta",1,20,7.49,9.99,12.99,,,673419166850,17.2,23.01,3.3,0.1,"",0,0,0,,0,0,,,,,,,,,19.9900,9.5600,"01/06/2012","31/12/2012"
"8660-1","Technic","Arctic",1986,"Arctic Rescue Unit",2,385,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,186.7800,31.5300,"",""
"850486-1","Collectable Minifigures","Combi-pack",2012,"Rock Band Minifigure Accessory Set",3,62,9.99,14.99,18.43,,,673419184991,,,,,"",0,0,0,,0,0,,,,,,,,,45.4900,40.0000,"",""
"911833-1","Star Wars","Magazine Gift",2018,"Imperial Shuttle",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.3700,2.9200,"",""
"7979-1","Castle","Seasonal",2008,"Castle Advent Calendar",9,176,12.99,30,,,5702014519848,,,,,,"",0,0,0,,0,0,,,,,,,,,126.6100,72.9500,"",""
"8133-1","Racers","Tiny Turbos",2007,"Rally Runner",,51,2.99,4.99,,,5702014500297,673419091725,10.2,14.7,4.8,0.09,"",0,0,0,,0,0,,,,,,,,,20.0000,2.1900,"",""
"1954-1","Space","Spyrius",1995,"Surveillance Scooter",1,23,,,,,5702010919543,,,,,,"",0,0,0,,0,0,,,,,,,,,25.0600,6.6200,"",""
"8514-1","Technic","Robo Riders",2000,"Power",,32,,6,,,,042884085148,8.8,17.2,8.8,,"",0,0,0,,0,0,,,,,,,,,29.9300,7.4300,"01/06/2000","01/03/2001"
"76148-1","Marvel Super Heroes","Spider-Man",2020,"Spider-Man vs. Doc Ock",3,234,19.99,19.99,24.99,29.23,5702016619317,673419320399,26.2,19.1,6.1,0.3,"",0,0,0,,0,0,,,,,,,,,34.2400,29.9500,"01/01/2020","31/12/2020"
"41110-1","Friends","Party",2016,"Birthday Party",1,191,17.99,19.99,24.99,19.99,,673419247450,26.2128,19.1008,6.096,0.32234,"",0,0,0,,0,0,,,,,,,,,25.9600,8.0000,"01/01/2016","31/12/2016"
"6965-1","Star Wars","Mini Building Set",2004,"TIE Interceptor",,32,,5,,,5702014399471,,,,,,"",0,0,0,,0,0,,,,,,,,,85.0000,19.0000,"",""
"6327-1","Town","Vehicles",1998,"Turbo Champ",2,48,,10,,,,,19.2,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,9.3600,6.3600,"01/04/1998","31/12/1999"
"70732-1","Ninjago","Possession",2015,"City of Stiix",9,1069,89.99,99.99,129.99,99.99,5702015347297,673419229197,58.1914,37.7952,8.7122,1.83,"",0,0,0,,0,0,,,,,,,,,310.0300,152.5800,"01/06/2015","31/12/2016"
"10695-1","Classic","Creative Building",2015,"Creative Building Box",,580,19.99,24.99,,24.99,5702015355735,673419232920,23.1902,22.5044,19.1008,0.94,"",0,0,0,,0,0,,,,,,,,,59.9900,25.0000,"01/01/2015","31/12/2016"
"911608-1","Star Wars","Magazine Gift",2016,"Landspeeder",,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.0900,1.2300,"",""
"6597-1","Town","Flight",1994,"Century Skyway",12,894,,109,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,727.6500,151.7200,"",""
"4552-1","Trains","9V",1995,"Cargo Crane",2,282,,38.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,215.9800,87.6200,"",""
"5003083-1","Seasonal","Christmas",2015,"Christmas Ornament",,32,,,,,,673419241908,,,,,"",0,0,0,,0,0,,,,,,,,,9.0300,5.3700,"",""
"1383-1","Studios","Horror",2002,"Curse of the Pharaoh",2,50,2.99,4,,,,673419012492,14.4,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,30.0000,20.0600,"01/06/2002","31/12/2003"
"4511-1","World City","Trains",2003,"High Speed Train",3,333,69.99,90,,,5702014267510,673419019279,48,28.8,11.4,1.94,"",0,0,0,,0,0,,,,,,,,,375.0800,147.3800,"01/06/2003","31/07/2006"
"10731-1","Juniors","Cars 3",2017,"Cruz Ramirez Race Simulator",1,59,7.99,9.99,12.99,9.99,,673419266703,15.6972,14.097,4.4958,0.1270058,"",0,0,0,,0,0,,,,,,,,,13.6200,8.5300,"01/06/2017","31/12/2018"
"7159-1","Star Wars","Episode I",2000,"Star Wars Podracing Bucket",3,292,,25,,,5702012008979,,21.4,26.6,21.4,,"",0,0,0,,0,0,,,,,,,,,108.2900,54.3200,"01/06/2000","31/12/2001"
"6282-1","HERO Factory","Breakout",2012,"STRINGER",,42,6.99,8.99,11.99,,5702014840928,673419167895,17,23,7,0.11,"",0,0,0,,0,0,,,,,,,,,36.9900,11.1000,"01/08/2012","31/07/2013"
"8462-1","Technic","",1998,"Tow Truck",,774,,122,,,5702010984626,,48,38.4,9.6,,"",0,0,0,,0,0,,,,,,,,,340.1100,166.9800,"01/08/1998","31/12/1999"
"41577-1","Mixels","Series 9",2016,"Mysto",,64,3,4.99,5.99,3.99,5702015595131,673419250054,13.0048,18.0086,1.4986,0.05448,"",0,0,0,,0,0,,,,,,,,,16.9400,8.0000,"01/10/2016","31/12/2016"
"41108-1","Friends","Heartlake City",2015,"Heartlake Food Market",2,388,34.99,39.99,49.99,39.99,5702015346894,,38.2016,26.1874,7.0612,0.72,"",0,0,0,,0,0,,,,,,,,,58.0000,20.9900,"01/06/2015","31/12/2016"
"43176-1","Disney","Storybook Adventures",2020,"Ariel's Storybook Adventures",3,105,17.99,19.99,24.99,19.99,5702016618624,673419319690,20.5,19.1,6.1,0.23,"",0,0,0,,0,0,,,,,,,,,28.8800,14.9900,"01/01/2020","31/12/2021"
"6313-1","Town","Accessories",1986,"Road Plates, Cross",,2,,5.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.1900,13.3700,"",""
"8881-1","Power Functions","Accessories",2008,"Battery Box",,1,5.5,6.99,8.49,7.79,673419243872,673419243872,,,,0.06,"",0,0,0,,0,0,,,,,,,,,23.1900,13.3000,"",""
"911613-1","Star Wars","Magazine Gift",2016,"TIE Bomber",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.6000,3.4900,"",""
"10756-1","Juniors","Jurassic World: Fallen Kingdom",2018,"Pteranodon Escape",2,84,19.99,19.99,24.99,22.99,5702016117356,673419284097,26.2,19.1,4.6,0.27,"",0,0,0,,0,0,,,,,,,,,24.1300,17.0000,"16/04/2018","31/12/2019"
"10687-1","Juniors","Marvel Super Heroes",2015,"Spider-Man Hideout",3,137,29.99,29.99,29.99,34.99,,673419232234,28.194,26.2128,5.8928,0.4626638,"",0,0,0,,0,0,,,,,,,,,40.4400,9.3100,"01/06/2015","31/12/2017"
"6296-1","Pirates","",1996,"Shipwreck Island",4,216,,29.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,335.0000,113.2800,"",""
"8931-1","Bionicle","Hydruka",2007,"Thulox",,39,3.99,5,,,,673419090643,14.4,14.4,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,34.9900,8.6400,"",""
"41327-1","Friends","Great Outdoors",2018,"Mia's Bedroom",1,86,8.99,9.99,12.99,9.99,5702016111279,673419281140,15.7,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,10.8500,5.3400,"01/01/2018","31/12/2018"
"31115-1","Creator","3 in 1",2021,"Space Mining Mech",,327,21.99,24.99,34.99,24.99,5702016889376,673419336536,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,25.2300,22.1600,"01/03/2021","31/12/2022"
"8419-1","Technic","",2005,"Excavator",,286,14.99,20,,,,673419054256,28.8,28.8,6,0.43,"",0,0,0,,0,0,,,,,,,,,48.8800,17.2300,"01/01/2005","31/12/2007"
"8223-1","Technic","",1996,"Hydrofoil 7",1,124,,,,,,042884082239,,,,,"",0,0,0,,0,0,,,,,,,,,33.7300,8.4500,"",""
"40182-1","Promotional","Toys R Us",2014,"Bricktober Fire Station",,175,,19.99,,,,673419220095,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,23.6000,12.0600,"01/09/2014","31/12/2014"
"40385-1","Miscellaneous","",2020,"LEGO Trophy",,200,11.99,12.99,16.99,12.99,,673419320627,14,15.6,7,0.231,"",0,0,0,,0,0,,,,,,,,,17.0700,14.9600,"01/01/2020","31/12/2022"
"607-1","Town","Classic",1979,"Mini Loader",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,81.9000,7.2500,"",""
"31101-1","Creator","3 in 1",2020,"Monster Truck",,163,12.99,14.99,19.99,14.99,5702016616279,673419317344,26.2,14.1,4.8,0.25,"",0,0,0,,0,0,,,,,,,,,12.2900,5.8500,"01/01/2020","31/12/2021"
"75370-1","Star Wars","Mechs",2023,"Stormtrooper Mech",1,138,12.99,15.99,19.99,15.99,5702017462844,673419381369,14.1,15.7,4.5,,"",0,0,0,,0,0,,,,,,,,,14.1000,,"01/08/2023","31/12/2024"
"21156-1","Minecraft","BigFig Series 2",2020,"BigFig Creeper and Ocelot",,184,12.99,14.99,19.99,14.61,5702016618235,673419319003,14.1,19.1,4.6,0.16,"",0,0,0,,0,0,,,,,,,,,26.6900,15.0000,"01/01/2020","31/12/2020"
"21148-1","Minecraft","BigFig Series 1",2019,"Minecraft Steve BigFig with Parrot",,159,12.99,14.99,19.99,14.99,5702016370560,673419304320,14.1,19.1,4.6,0.17,"",0,0,0,,0,0,,,,,,,,,29.0300,19.1100,"01/01/2019","31/12/2019"
"8683-0","Collectable Minifigures","Series 1",2010,"LEGO Minifigures - Series 1 {Random bag}",,,1.99,1.99,,,5702014602304,673419130479,8.8,1,11.7,,"",0,0,0,,0,0,,,,,,,,,,,"01/05/2010","31/12/2010"
"8873-1","Castle","Knights' Kingdom II",2005,"Fireball Catapult",2,46,4.99,8,,,5702014436336,673419060233,14.4,14.4,6,0.11,"",0,0,0,,0,0,,,,,,,,,50.0000,16.0000,"01/07/2005","31/12/2006"
"8773-1","Castle","Knights' Kingdom II",2004,"Santis",,46,5.99,,,,5702014365957,,10.2,17.3,7.2,,"",0,0,0,,0,0,,,,,,,,,12.2000,7.6100,"01/01/2004","31/12/2004"
"44002-1","HERO Factory","Brain Attack",2013,"ROCKA",,43,7.99,9.99,11.99,,5702014975118,673419191753,17,23,7,0.11,"",0,0,0,,0,0,,,,,,,,,24.9500,10.5900,"01/01/2013","31/12/2013"
"30204-1","Friends","Park",2015,"Wish Fountain",1,44,,3.99,,,5702015356763,673419233460,17,19.5,0.8,,"",0,0,0,,0,0,,,,,,,,,4.7100,3.2200,"01/01/2015","31/12/2015"
"41775-2","Unikitty","Blind Bags Series 1",2018,"Angry Unikitty",1,14,,3.99,,,,,9.5,14.5,0.5,,"",0,0,0,,0,0,,,,,,,,,3.3700,2.7300,"01/06/2018","31/12/2018"
"8106-1","Exo-Force","Golden City",2007,"Aero Booster",1,312,19.99,29.99,,,,673419090940,38.4,28.8,7.2,0.73,"",0,0,0,,0,0,,,,,,,,,220.0000,74.4600,"01/06/2007","31/12/2007"
"1696-1","Pirates","",1992,"Pirate Lookout",1,17,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,64.1400,20.0800,"",""
"8756-1","Bionicle","Warriors",2005,"Sidorak",,211,14.99,20,,,5702014425262,673419056687,24,28.8,6,,"",0,0,0,,0,0,,,,,,,,,72.6700,44.6800,"01/03/2005","31/07/2006"
"6429-1","Town","City",1999,"Blaze Responder",2,45,,13,,,5702012000065,,19.2,14.4,7.2,,"",0,0,0,,0,0,,,,,,,,,64.4900,8.3600,"01/01/1999","31/12/2001"
"79121-1","Teenage Mutant Ninja Turtles","TV Series",2014,"Turtle Sub Undersea Chase",5,684,59.99,59.99,74.99,,5702015126977,673419212236,48.006,28.194,6.096,1.02,"",0,0,0,,0,0,,,,,,,,,87.3900,48.9100,"01/04/2014","31/12/2014"
"41775-4","Unikitty","Blind Bags Series 1",2018,"Dinosaur Unikitty",1,14,,3.99,,,,,9.5,14.5,0.5,,"",0,0,0,,0,0,,,,,,,,,2.7400,2.2700,"01/06/2018","31/12/2018"
"41775-11","Unikitty","Blind Bags Series 1",2018,"Queasy Unikitty",1,15,,3.99,,,,,9.5,14.5,0.5,,"",0,0,0,,0,0,,,,,,,,,3.0300,2.2100,"01/06/2018","31/12/2018"
"912285-1","Star Wars","Magazine Gift",2022,"Darth Maul",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.0300,3.5500,"",""
"11910-1","Space","Classic",2015,"Micro-Scale Space Cruiser",,102,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,25.0100,10.3000,"",""
"8674-1","Racers","Ferrari",2006,"Ferrari F1 Racer 1:8",,1246,99.99,139.99,,,5702014467965,,65.2,43.2,7.2,,"",0,0,0,,0,0,,,,,,,,,741.5600,295.2200,"01/06/2006","31/12/2007"
"2537-1","Town","Extreme Team",1998,"Extreme Team Raft",1,24,,2,,,5702010925377,,,,,,"",0,0,0,,0,0,,,,,,,,,7.7600,2.6300,"",""
